Seed,ID,Energy,Angle(deg),Impact(km),Ground(km),Triggered,Angle(deg),Impact(km),Ground(km),Cherenkov,Angle(deg),Impact(km),Ground(km)
1,158,4.3021e+19,103.424209,11.944146,12.177035,1,112.781972,13.168815,14.094689,0,0,0,0
1,159,4.14315e+19,137.707883,48.217233,71.169301,1,71.608109,20.150375,21.386848,0,0,0,0
1,160,3.18209e+19,98.646624,22.411301,22.610569,1,98.189708,22.282359,22.456906,1,102.144252,23.359472,23.809865
1,161,1.49203e+20,99.238544,37.842197,38.275975,1,83.034567,29.390593,29.661201,1,106.024691,41.209582,42.761546
1,162,8.08154e+19,108.793614,22.940767,24.098800,1,95.972118,19.203543,19.270359,1,107.228126,22.129386,23.047347
1,163,6.91634e+20,129.646924,44.321766,57.184160,1,40.853095,6.986451,11.215551,1,129.872082,43.282071,56.017337
1,164,1.11549e+20,66.188431,31.590514,34.859513,1,35.580957,16.099564,28.715257,0,0,0,0
1,165,7.86993e+19,75.624673,44.642485,46.189679,1,67.694674,37.083605,40.248933,1,78.265818,46.890959,47.976584
1,166,2.60848e+19,60.657171,29.617864,34.290868,1,58.603627,28.132418,33.297853,0,0,0,0
1,167,1.79142e+20,76.024250,38.338062,39.614269,1,78.721075,40.322502,41.202360,1,76.539297,38.736321,39.933036
1,168,1.32977e+20,88.611084,31.891855,31.913458,1,88.509748,31.858745,31.882466,1,89.937792,32.592692,32.595609
1,169,8.50804e+19,128.125302,55.661789,70.347950,1,49.807092,12.965769,17.420054,1,170.503435,65.831663,395.904190
1,170,3.08344e+19,100.185488,35.999393,36.493422,1,94.930472,33.505856,33.592619,1,99.803051,35.760114,36.210898
1,171,2.50242e+20,99.960953,30.805348,31.207774,1,100.484920,30.984097,31.437318,1,101.436689,31.287309,31.841142
1,172,6.83646e+19,108.327849,36.755896,38.480384,1,82.142471,25.357634,25.709776,0,0,0,0
1,173,8.12201e+19,94.609823,54.106864,54.251668,1,56.723436,23.125624,27.926718,0,0,0,0
1,174,2.93788e+19,108.946144,43.960205,46.339044,1,81.908252,28.716402,29.066384,0,0,0,0
1,175,2.58034e+19,102.221881,31.337262,31.951537,1,88.634689,26.612510,26.638463,0,0,0,0
1,176,5.13986e+19,82.433514,44.221014,44.664754,1,66.934020,31.597046,34.516441,1,79.004466,41.408759,42.263327
1,177,4.82597e+20,98.944559,26.761379,27.030824,1,87.207905,22.023798,22.073108,1,94.918581,24.864823,24.925510
1,178,6.17402e+19,115.514059,54.731764,60.286707,1,85.414041,37.897923,38.087627,0,0,0,0
1,179,2.5987e+19,120.727068,21.689777,24.558470,1,15.059983,2.969961,15.672488,0,0,0,0
1,180,1.30957e+20,85.946489,51.713145,51.883049,1,84.006666,49.870223,50.202591,1,98.830685,62.428462,63.097436
1,181,8.38273e+19,99.166630,29.781737,30.098657,1,105.739222,32.208460,33.341271,0,0,0,0
1,182,9.59694e+19,87.577484,52.286995,52.359374,1,82.019551,47.239089,47.779476,1,86.556331,51.127169,51.254840
1,183,3.03203e+19,158.010378,37.203940,98.352330,1,35.638056,4.354074,8.050151,0,0,0,0
1,184,1.83898e+19,91.484648,15.235506,15.235521,1,61.606204,7.761534,9.057034,0,0,0,0
1,185,6.01025e+19,87.647265,40.017387,40.069611,1,76.835871,32.766173,33.746522,1,91.998356,43.018545,43.032611
1,186,3.39951e+20,76.345170,35.049678,36.304231,1,74.084951,33.430654,35.031993,0,0,0,0
1,187,3.33648e+20,138.303043,28.300658,42.067846,1,88.236924,16.631275,16.657752,1,138.968225,27.859467,41.949685
1,188,5.57088e+18,77.883885,11.634647,11.998701,1,76.103182,11.240862,11.692898,1,78.382961,11.833189,12.175630
1,189,1.92772e+19,164.157190,17.201437,61.169400,1,86.460435,9.181920,9.246511,0,0,0,0
1,190,1.70242e+20,91.815093,57.356672,57.372085,1,74.850723,41.856795,43.498247,1,93.183294,58.352512,58.417650
1,191,9.31039e+18,122.802990,21.624304,25.465398,1,95.546427,15.847422,15.887409,1,124.155507,21.450336,25.646129
1,192,5.80252e+20,87.502616,17.871120,17.911153,1,82.391628,16.182614,16.387309,1,86.296826,17.365842,17.434128
1,193,5.38185e+19,88.189423,52.516760,52.559585,1,81.255976,46.134345,46.749798,1,81.020394,45.982367,46.627809
1,194,8.24314e+20,106.975318,22.379265,23.276285,1,105.135854,21.906563,22.585857,1,108.606969,22.665737,23.780329
1,195,8.83436e+19,103.525544,47.226501,48.476726,1,79.420944,31.942825,32.574336,1,106.057732,48.390842,50.239171
1,196,7.36634e+20,85.553790,55.092821,55.292403,1,76.777772,46.587412,47.953810,1,128.955022,93.138373,119.440939
1,197,3.70877e+19,93.585292,32.902977,32.944795,1,90.863727,31.559760,31.559848,1,92.427907,32.317383,32.331892
1,198,3.72059e+20,173.552424,53.989745,477.160538,1,20.884381,1.343732,4.870971,0,0,0,0
1,199,3.36128e+20,139.514489,34.046501,51.959512,1,86.272457,19.087454,19.159097,1,138.046967,33.393708,49.496201
1,200,1.82177e+20,91.921318,5.418000,5.422461,1,92.607009,5.483700,5.485812,1,92.307730,5.458312,5.461341
1,201,5.47537e+19,81.904174,38.340513,38.802280,1,54.565668,19.161769,23.883000,1,76.957540,34.372611,35.403589
1,202,7.13759e+20,49.631678,34.337370,45.498361,1,48.782685,33.398030,44.842240,1,44.910167,29.721655,42.605545
1,203,9.50247e+19,129.056329,22.245661,28.193151,1,122.316951,21.136623,24.659957,1,130.168635,21.957977,28.264194
1,204,4.65174e+20,96.934753,47.707819,48.005945,1,67.482231,26.649831,29.041705,1,97.231517,47.148246,47.470672
1,205,2.34317e+20,139.459639,52.062662,79.509944,1,96.337761,34.043426,34.200642,1,175.697297,56.744080,749.648932
1,206,5.93606e+19,62.254720,9.108019,10.509672,1,61.237614,8.780170,10.243688,1,60.463650,8.805396,10.355438
1,207,9.14665e+18,84.116555,16.794416,16.930233,1,85.225660,16.803174,16.900588,0,0,0,0
1,208,1.89813e+20,60.807796,44.954092,51.798139,1,61.064671,45.276035,52.034394,1,55.337793,39.142221,47.963209
1,209,2.52294e+20,84.749937,29.478506,29.643270,1,84.199850,29.220743,29.415689,1,83.278293,28.810615,29.061318
1,210,4.58915e+19,86.205150,46.765521,46.896522,1,62.552805,27.778053,31.511770,1,91.091007,50.854229,50.857406
1,211,3.89715e+20,103.281628,42.438600,43.504900,1,74.376041,25.539138,26.643265,1,99.843458,39.794886,40.316872
1,212,7.9568e+20,32.781066,54.788339,101.832086,1,29.943586,45.486594,91.843709,0,0,0,0
1,213,6.589e+20,62.724791,32.507987,36.783965,1,61.018928,30.635826,35.246105,1,60.519107,30.419379,35.173452
1,214,4.71047e+20,90.309162,39.997231,39.997659,1,90.381898,39.843438,39.843667,1,92.819237,41.360993,41.393316
1,215,1.00898e+20,95.225715,54.884814,55.076676,1,73.008263,36.173562,37.956840,1,132.706570,81.151282,110.043373
1,216,2.76762e+20,87.041216,28.433145,28.498883,1,32.274403,4.627747,9.410571,0,0,0,0
1,217,2.86684e+20,145.162049,47.796718,83.082321,1,58.155367,12.782343,15.306246,0,0,0,0
1,218,4.93718e+19,90.699490,35.963903,35.963993,1,84.409860,32.335757,32.545083,1,93.087853,37.062231,37.091798
1,219,9.85196e+19,50.868617,6.444334,8.662389,1,49.003521,6.018987,8.353614,1,50.769784,6.651572,8.942754
1,220,7.75657e+20,37.933951,54.460398,89.161872,1,39.809456,59.064828,92.790156,0,0,0,0
1,221,6.64845e+20,120.641656,52.441291,60.715139,1,66.297769,21.651470,23.825885,0,0,0,0
1,222,9.88721e+20,85.533882,39.227251,39.381174,1,82.531754,36.997480,37.370452,1,90.519315,42.339151,42.339161
1,223,5.07401e+20,68.854007,45.698230,49.153919,1,69.774660,46.713283,49.931917,1,84.567562,63.008009,63.331603
1,224,4.88822e+20,117.748978,23.930336,26.563572,1,113.051574,22.994765,24.615650,0,0,0,0
1,225,1.77058e+20,85.363531,46.392719,46.597156,1,45.566395,14.384880,20.728288,1,79.026810,38.615635,39.452863
1,226,5.10715e+20,81.638987,57.083674,57.757635,1,64.477281,38.236388,42.565794,1,80.836576,55.283825,56.065018
1,227,3.70432e+19,71.752549,30.822370,32.589614,1,69.070411,28.816826,31.009039,1,71.179719,30.347574,32.201467
1,228,6.74661e+20,114.089387,57.020324,62.172350,1,48.932934,14.764229,20.153816,1,111.652908,54.717449,58.619684
1,229,6.51369e+19,95.229040,35.809103,35.890283,1,65.311781,21.083968,23.607704,0,0,0,0
1,230,8.43157e+19,90.055001,37.168853,37.170690,1,71.179863,25.880960,27.483884,1,89.822103,36.989484,36.993139
1,231,3.22798e+19,120.937914,5.917577,6.627999,1,111.980620,5.414892,5.661382,1,121.672445,5.690332,6.400174
1,232,8.24502e+19,129.100152,26.872145,34.271160,1,94.672691,18.519910,18.550889,1,132.651145,27.008311,36.318165
1,233,4.09429e+19,108.750608,55.755685,58.500860,1,76.901764,38.867359,40.188244,0,0,0,0
