Seed,ID,Energy,Angle(deg),Impact(km),Ground(km),Triggered,Angle(deg),Impact(km),Ground(km),Cherenkov,Angle(deg),Impact(km),Ground(km)
7,196,6.17499e+20,93.573415,25.890693,25.928380,1,89.407382,24.223015,24.227562,1,92.904095,25.540640,25.563321
7,197,8.60461e+18,83.205981,19.145124,19.307972,1,78.626183,17.372908,17.766427,1,79.764568,17.797968,18.126745
7,198,1.21562e+20,64.911567,32.077401,35.558856,1,37.844555,16.010740,26.473081,0,0,0,0
7,199,4.01131e+19,85.902896,23.107241,23.183748,1,84.283327,22.468545,22.604610,1,92.187282,25.424405,25.435312
7,200,2.72523e+20,72.208303,38.048513,40.057682,1,73.639025,39.343729,41.094200,0,0,0,0
7,201,3.3695e+19,101.369832,22.520285,22.927835,1,99.815307,22.091695,22.382835,1,107.421676,24.113864,25.205046
7,202,3.74272e+20,92.021554,29.189382,29.200578,1,49.119750,11.446317,15.331694,0,0,0,0
7,203,8.56464e+19,84.430440,12.066963,12.145510,1,83.065042,11.736013,11.848716,1,83.005920,11.750063,11.864570
7,204,8.44361e+20,75.909210,6.549411,6.806143,1,74.519015,6.293574,6.589453,1,77.301276,6.707143,6.923701
7,205,1.21155e+20,121.997291,38.124755,44.828547,1,95.963092,27.738535,27.869042,1,165.997657,46.685991,192.136585
7,206,1.85549e+20,92.101592,25.961368,25.972031,1,95.651619,27.244754,27.358021,1,86.203985,23.585521,23.652112
7,207,3.92648e+20,103.778873,30.581584,31.438711,1,105.928892,31.230630,32.420510,1,99.874346,28.916127,29.316375
7,208,6.1939e+20,98.953722,13.532138,13.665566,1,107.753815,14.956929,15.634871,0,0,0,0
7,209,7.9088e+19,103.421037,35.616180,36.567061,1,84.638739,26.877754,27.016174,1,143.447083,49.778737,83.302050
7,210,2.09301e+19,94.295858,23.730718,23.782844,1,94.107327,23.626344,23.673150,1,95.242157,23.991792,24.074364
7,211,1.7091e+18,109.661365,5.907760,6.205185,1,110.570938,5.917522,6.248564,1,107.700264,5.675926,5.897446
7,212,2.80238e+20,92.618746,39.113724,39.120869,1,41.313496,26.165946,40.862853,0,0,0,0
7,213,4.91446e+20,80.520050,29.853792,30.302761,1,80.083518,29.636775,30.123531,1,82.742137,31.112058,31.390666
7,214,2.18874e+20,139.621501,8.472258,12.843184,1,112.408432,6.907506,7.391598,1,140.324786,8.341354,12.824730
7,215,8.43985e+20,19.847524,36.950351,109.489113,1,20.609123,38.475066,109.936348,0,0,0,0
7,216,4.68478e+20,79.423927,39.370841,40.138322,1,77.082783,37.616084,38.697482,0,0,0,0
7,217,1.44248e+20,125.059079,26.190359,31.847595,1,106.726696,21.943785,22.850573,1,137.098977,28.204785,41.205392
7,218,1.16437e+18,114.491547,4.562853,4.925914,1,113.640818,4.485258,4.811810,1,112.022097,4.339724,4.603851
7,219,1.76552e+20,126.757196,32.271598,40.078796,1,125.758856,32.038402,39.287394,0,0,0,0
7,220,4.70856e+20,34.694638,32.685451,57.712671,1,34.250647,31.669591,56.564344,1,30.466974,26.273921,52.158672
7,221,3.89852e+20,88.445609,38.612281,38.640118,1,83.985421,36.996724,37.248607,0,0,0,0
7,222,7.43987e+18,84.686430,10.706934,10.773665,1,82.941724,10.364950,10.470853,1,85.758385,10.890207,10.936831
7,223,3.23845e+20,91.615683,32.900230,32.908200,1,88.550720,31.139924,31.155708,1,145.475812,54.191195,95.320900
7,224,2.76096e+20,84.754114,27.415649,27.550762,1,84.954575,27.536116,27.662291,1,93.063748,31.264606,31.298955
7,225,8.41214e+19,54.707278,25.417909,31.283725,1,51.054689,22.572119,29.184990,1,52.162293,23.505393,29.919225
7,226,7.73705e+20,113.070953,21.494252,23.269600,1,59.672240,7.747701,9.107809,1,113.649211,21.165176,23.010060
7,227,7.27644e+19,81.179674,21.498157,21.788914,1,82.386952,21.949500,22.173641,1,77.016687,19.929862,20.502018
7,228,1.65111e+20,59.878118,28.674671,33.275059,1,57.816326,26.921505,31.943076,1,56.035386,25.713463,31.146460
7,229,1.7049e+20,21.111897,27.531744,77.204388,1,20.954868,26.990062,76.239207,0,0,0,0
7,230,2.60254e+20,103.758459,39.331379,40.444614,1,93.529061,34.159921,34.213034,1,124.645867,48.679735,59.033698
